County,FIPS_Code,featureId
Alameda County,001,Alameda
Alpine County,003,Alpine
Amador County,005,Amador
Butte County,007,Butte
Calaveras County,009,Calaveras
Colusa County,011,Colusa
Contra Costa County,013,Contra Costa
Del Norte County,015,Del Norte
El Dorado County,017,El Dorado
Fresno County,019,Fresno
Glenn County,021,Glenn
Humboldt County,023,Humboldt
Imperial County,025,Imperial
Inyo County,027,Inyo
Kern County,029,Kern
Kings County,031,Kings
Lake County,033,Lake
Lassen County,035,Lassen
Los Angeles County,037,Los Angeles
Madera County,039,Madera
Marin County,041,Marin
Mariposa County,043,Mariposa
Mendocino County,045,Mendocino
Merced County,047,Merced
Modoc County,049,Modoc
Mono County,051,Mono
Monterey County,053,Monterey
Napa County,055,Napa
Nevada County,057,Nevada
Orange County,059,Orange
Placer County,061,Placer
Plumas County,063,Plumas
Riverside County,065,Riverside
Sacramento County,067,Sacramento
San Benito County,069,San Benito
San Bernardino County,071,San Bernardino
San Diego County,073,San Diego
San Francisco County,075,San Francisco
San Joaquin County,077,San Joaquin
San Luis Obispo County,079,San Luis Obispo
San Mateo County,081,San Mateo
Santa Barbara County,083,Santa Barbara
Santa Clara County,085,Santa Clara
Santa Cruz County,087,Santa Cruz
Shasta County,089,Shasta
Sierra County,091,Sierra
Siskiyou County,093,Siskiyou
Solano County,095,Solano
Sonoma County,097,Sonoma
Stanislaus County,099,Stanislaus
Sutter County,101,Sutter
Tehama County,103,Tehama
Trinity County,105,Trinity
Tulare County,107,Tulare
Tuolumne County,109,Tuolumne
Ventura County,111,Ventura
Yolo County,113,Yolo
Yuba County,115,Yuba