Supplier_Name,Tier,Conservation_Standard
Adelanto City of,5,20
Alameda County Water District,4,16
Alco Water Service,6,24
Alhambra  City of,6,24
Amador Water Agency,6,24
"American Canyon, City of",5,20
Anaheim  City of,5,20
"Anderson, City of",9,36
Antioch  City of,7,28
Apple Valley Ranchos Water Company,7,28
Arcadia  City of,9,36
Arcata  City of,1,4
Arroyo Grande  City of,7,28
Arvin Community Services District,7,28
Atascadero Mutual Water Company,7,28
Atwater  City of,9,36
Azusa  City of,5,20
Bakersfield  City of,9,36
Bakman Water Company,9,36
Banning  City of,8,32
Beaumont-Cherry Valley Water District,9,36
Bella Vista Water District,9,36
Bellflower-Somerset Mutual Water Company,5,20
Benicia  City of,5,20
Beverly Hills  City of,8,32
Big Bear City Community Services District,4,16
Blythe  City of,8,32
Brawley  City of,8,32
Brea  City of,6,24
Brentwood  City of,8,32
Buena Park  City of,5,20
Burbank  City of,6,24
Burlingame  City of,4,16
Calaveras County Water District,4,16
Calexico  City of,5,20
California City  City of,9,36
California Water Service Company Antelope Valley,9,36
California Water Service Company Bakersfield,8,32
California Water Service Company Bear Gulch,9,36
California Water Service Company Chico District,8,32
"California Water Service Company Dixon, City of",7,28
California Water Service Company Dominguez,4,16
California Water Service Company East Los Angeles,2,8
California Water Service Company Hermosa/Redondo,5,20
California Water Service Company Kern River Valley,7,28
California Water Service Company King City,3,12
California Water Service Company Livermore,6,24
California Water Service Company Los Altos/Suburban,8,32
California Water Service Company Marysville,6,24
California Water Service Company Mid Peninsula,4,16
California Water Service Company Oroville,7,28
California Water Service Company Palos Verdes,9,36
California Water Service Company Redwood Valley,4,16
California Water Service Company Salinas District,4,16
California Water Service Company Selma,8,32
California Water Service Company South San Francisco,2,8
California Water Service Company Stockton,5,20
California Water Service Company Visalia,8,32
California Water Service Company Westlake,9,36
California Water Service Company Willows,7,28
California-American Water Company Los Angeles District,7,28
California-American Water Company Monterey District,2,8
California-American Water Company Sacramento District,5,20
California-American Water Company San Diego District,2,8
California-American Water Ventura District,8,32
Camarillo  City of,5,20
Cambria Community Services District,2,8
Camrosa Water District,8,32
Carlsbad Municipal Water District,7,28
Carmichael Water District,9,36
Carpinteria Valley Water District,5,20
Casitas Municipal Water District,8,32
Castaic Lake Water Agency Santa Clarita Water Division,8,32
Central Coast Water Authority,3,12
Ceres  City of,7,28
Cerritos  City of,7,28
Chino  City of,6,24
Chino Hills  City of,7,28
Citrus Heights Water District,8,32
"City of Big Bear Lake, Dept of Water & Power",4,16
City of Newman Water Department,6,24
Clovis  City of,9,36
Coachella  City of,6,24
Coachella Valley Water District,9,36
Coastside County Water District,2,8
"Colton, City of",5,20
Compton  City of,2,8
Contra Costa Water District,7,28
"Corcoran, City of",9,36
Corona  City of,7,28
Covina  City of,7,28
Crescent City  City of,4,16
Crescenta Valley Water District,5,20
Crestline Village Water District,2,8
Cucamonga Valley Water District,8,32
Daly City  City of,2,8
Davis  City of,7,28
Del Oro Water Company,6,24
Delano  City of,6,24
Desert Water Agency,9,36
Diablo Water District,7,28
Dinuba  City of,8,32
Discovery Bay Community Services District,8,32
Downey  City of,5,20
Dublin San Ramon Services District,3,12
East Bay Municipal Utilities District,4,16
East Niles Community Service District,9,36
East Orange County Water District,9,36
"East Palo Alto, City of",2,8
East Valley Water District,7,28
Eastern Municipal Water District,7,28
El Centro  City of,6,24
El Dorado Irrigation District,7,28
El Monte  City of,2,8
El Segundo  City of,5,20
El Toro Water District,6,24
Elk Grove Water Service,7,28
Elsinore Valley Municipal Water District,7,28
Escondido  City of,5,20
Estero Municipal Improvement District,3,12
Eureka  City of,1,4
Exeter  City of,9,36
Fair Oaks Water District,9,36
Fairfield  City of,5,20
Fallbrook Public Utility District,9,36
Fillmore  City of,7,28
Folsom  City of,8,32
Fortuna  City of,6,24
Fountain Valley  City of,5,20
Fresno  City of,7,28
Fruitridge Vista Water Company,9,36
Fullerton  City of,7,28
Galt  City of,8,32
Garden Grove  City of,5,20
Georgetown Divide Public Utilities District,8,32
Gilroy  City of,6,24
Glendale  City of,5,20
Glendora  City of,9,36
Golden State Water Company Artesia,4,16
Golden State Water Company Barstow,6,24
Golden State Water Company Bay Point,3,12
Golden State Water Company Bell-Bell Gardens,2,8
Golden State Water Company Claremont,8,32
Golden State Water Company Cordova,9,36
Golden State Water Company Cowan Heights,9,36
Golden State Water Company Culver City,4,16
Golden State Water Company Florence Graham,2,8
Golden State Water Company Norwalk,3,12
Golden State Water Company Ojai,9,36
Golden State Water Company Orcutt,8,32
Golden State Water Company Placentia,6,24
Golden State Water Company S Arcadia,6,24
Golden State Water Company S San Gabriel,3,12
Golden State Water Company San Dimas,7,28
Golden State Water Company Simi Valley,6,24
Golden State Water Company Southwest,3,12
Golden State Water Company West Orange,4,16
Goleta Water District,3,12
Great Oaks Water Company Incorporated,5,20
"Greenfield, City of",4,16
Groveland Community Services District,6,24
Grover Beach  City of,2,8
Hanford  City of,7,28
Hawthorne  City of,4,16
Hayward  City of,2,8
Healdsburg  City of,6,24
Helix Water District,5,20
Hemet  City of,8,32
Hesperia Water District City of,8,32
Hi-Desert Water District,4,16
Hillsborough  Town of,9,36
Hollister  City of,5,20
Humboldt Bay Municipal Water District,1,4
Humboldt Community Service District,6,24
Huntington Beach  City of,5,20
Huntington Park  City of,2,8
"Imperial, City of",6,24
Indian Wells Valley Water District,9,36
Indio  City of,8,32
Inglewood  City of,3,12
Irvine Ranch Water District,4,16
Joshua Basin Water District,7,28
Jurupa Community Service District,7,28
"Kerman, City of",8,32
"Kingsburg, City of",9,36
La Habra  City of Public Works,7,28
La Palma  City of,5,20
La Verne  City of,8,32
Laguna Beach County Water District,6,24
Lake Arrowhead Community Services District,4,16
Lake Hemet Municipal Water District,7,28
Lakeside Water District,5,20
Lakewood  City of,5,20
Lamont Public Utility District,7,28
Las Virgenes Municipal Water District,9,36
"Lathrop, City of ",5,20
Lee Lake Water District,8,32
Lemoore  City of,8,32
Lincoln  City of,8,32
Lincoln Avenue Water Company,7,28
Linda County Water District,8,32
Livermore  City of Division of Water Resources,5,20
Livingston  City of,8,32
Lodi  City of Public Works Department,8,32
Loma Linda  City of *,8,32
Lomita  City of,5,20
Lompoc  City of,3,12
Long Beach  City of,4,16
Los Angeles County Public Works Waterworks District 29,9,36
Los Angeles County Public Works Waterworks District 40,8,32
Los Angeles Department of Water and Power,4,16
"Los Banos, City of",7,28
Lynwood  City of,4,16
Madera  City of,7,28
Madera County,9,36
Mammoth Community Water District,5,20
Manhattan Beach  City of,5,20
Manteca  City of,8,32
Marin Municipal Water District,5,20
Marina Coast Water District,3,12
Martinez  City of,5,20
McKinleyville Community Service District,1,4
Menlo Park  City of,4,16
Merced  City of,9,36
Mesa Water District,5,20
Mid-Peninsula Water District,5,20
Millbrae  City of,4,16
Milpitas  City of,3,12
Mission Springs Water District,7,28
"Modesto, City of",9,36
Monrovia  City of,7,28
Monte Vista Water District,6,24
Montebello Land and Water Company,4,16
Montecito Water District,8,32
Monterey Park  City of,5,20
Morgan Hill  City of,7,28
Morro Bay  City of,3,12
Moulton Niguel Water District,5,20
Mountain View  City of,4,16
Myoma Dunes Mutual Water Company,9,36
Napa  City of,5,20
Nevada Irrigation District,9,36
Newhall County Water District,7,28
Newport Beach  City of,7,28
Nipomo Community Services District,7,28
Norco  City of,9,36
North Coast County Water District,2,8
North Marin Water District,6,24
North Tahoe Public Utility District,7,28
Norwalk City of,5,20
Oakdale  City of,8,32
Oceanside  City of,5,20
Oildale Mutual Water Company,9,36
Olivehurst Public Utility District,9,36
Olivenhain Municipal Water District,8,32
Ontario  City of,6,24
Orange  City of,7,28
Orange Vale Water Company,9,36
Orchard Dale Water District,3,12
Otay Water District,5,20
Oxnard  City of,3,12
Padre Dam Municipal Water District,5,20
Palmdale Water District,8,32
Palo Alto  City of,6,24
Paradise Irrigation District,9,36
Paramount  City of,3,12
Park Water Company,2,8
Pasadena  City of,7,28
Paso Robles  City of,7,28
Patterson  City of,7,28
"Perris, City of",6,24
Petaluma  City of,4,16
Phelan Pinon Hills Community Services District,8,32
Pico Rivera  City of,4,16
Pico Water District,6,24
Pinedale County Water District,9,36
Pismo Beach  City of,6,24
Pittsburg  City of,5,20
Placer County Water Agency,8,32
Pleasanton  City of,6,24
Pomona  City of,5,20
Port Hueneme  City of,2,8
Porterville  City of,8,32
Poway  City of,8,32
Quartz Hill Water District,9,36
Rainbow Municipal Water District,9,36
Ramona Municipal Water District,7,28
Rancho California Water District,9,36
Red Bluff  City of,9,36
Redding  City of,9,36
Redlands  City of,9,36
Redwood City  City of,2,8
Reedley  City of,6,24
Rialto  City of,7,28
Rincon Del Diablo Municipal Water District,8,32
Rio Linda - Elverta Community Water District,9,36
"Rio Vista, city of",9,36
Ripon  City of,9,36
Riverbank  City of,8,32
Riverside  City of,7,28
Riverside Highland Water Company,9,36
Rohnert Park  City of,4,16
Rosamond Community Service District,7,28
Roseville  City of,7,28
Rowland Water District,5,20
Rubidoux Community Service District,7,28
Rubio Canyon Land and Water Association,9,36
Sacramento  City of,7,28
Sacramento County Water Agency,8,32
Sacramento Suburban Water District,8,32
San Bernardino  City of,7,28
San Bernardino County Service Area 64,8,32
San Bernardino County Service Area 70,7,28
San Bruno  City of,2,8
San Buenaventura  City of,4,16
San Clemente  City of,6,24
San Diego  City of,4,16
San Dieguito Water District,7,28
San Fernando  City of,6,24
San Francisco Public Utilities Commission,2,8
San Gabriel County Water District,5,20
San Gabriel Valley Fontana Water Company,7,28
San Gabriel Valley Water Company,4,16
San Jacinto  City of,8,32
San Jose  City of,5,20
San Jose Water Company,5,20
San Juan Capistrano  City of,7,28
San Juan Water District,9,36
San Lorenzo Valley Water District,3,12
San Luis Obispo  City of,3,12
Sanger  City of,7,28
Santa Ana  City of,3,12
Santa Barbara  City of,3,12
Santa Clara  City of,4,16
Santa Cruz  City of,2,8
Santa Fe Irrigation District,9,36
Santa Fe Springs  City of,4,16
Santa Margarita Water District,6,24
Santa Maria  City of,4,16
Santa Monica  City of,5,20
Santa Paula  City of,7,28
Santa Rosa  City of,4,16
Scotts Valley Water District,4,16
Seal Beach  City of,2,8
Serrano Water District,9,36
Shafter  City of,9,36
Shasta Lake  City of,7,28
Sierra Madre  City of,8,32
"Soledad, City of",6,24
Sonoma  City of,7,28
Soquel Creek Water District,2,8
South Coast Water District,6,24
South Feather Water and Power Agency,9,36
South Gate  City of,3,12
South Pasadena  City of,7,28
South Tahoe Public Utilities District,5,20
Stockton  City of,7,28
Suburban Water Systems San Jose Hills,6,24
Suburban Water Systems Whittier/La Mirada,7,28
Suisun-Solano Water Authority,7,28
Sunny Slope Water Company,6,24
Sunnyslope County Water District,7,28
Sunnyvale  City of,4,16
Susanville  City of,9,36
Sweetwater Authority,3,12
Sweetwater Springs Water District,4,16
Tahoe City Public Utilities District,5,20
"Tehachapi, City of",7,28
Thousand Oaks  City of,7,28
Torrance  City of,5,20
Trabuco Canyon Water District,7,28
Tracy  City of,7,28
Triunfo Sanitation District / Oak Park Water Service,8,32
Truckee-Donner Public Utilities District,7,28
"Tulare, City of",8,32
Tuolumne Utilities District,6,24
Turlock  City of,8,32
Tustin  City of,7,28
Twentynine Palms Water District,7,28
Ukiah  City of,5,20
Upland  City of,9,36
Vacaville  City of,8,32
Valencia Water Company,6,24
Vallecitos Water District,6,24
Vallejo  City of,4,16
Valley Center Municipal Water District,9,36
Valley County Water District,4,16
Valley of the Moon Water District,5,20
Valley Water Company,9,36
Vaughn Water Company,9,36
Ventura County Waterworks District No 1,8,32
Ventura County Waterworks District No. 8,7,28
Vernon  City of,2,8
Victorville Water District,7,28
Vista Irrigation District,5,20
Walnut Valley Water District,7,28
Wasco  City of,9,36
Watsonville  City of,5,20
West Kern Water District,7,28
West Sacramento  City of,7,28
West Valley Water District,8,32
Westborough Water District,2,8
Western Municipal Water District of Riverside,8,32
Westminster  City of,5,20
Whittier  City of,5,20
"Windsor, Town of",4,16
Winton Water & Sanitary District,9,36
Woodland  City of,6,24
Yorba Linda Water District,9,36
"Yreka, City of",8,32
Yuba City  City of,8,32
Yucaipa Valley Water District,9,36